                      OLS Regression Results                      
Dep. Variable:   ,price           ,  R-squared:         ,   0.865 
Model:           ,OLS             ,  Adj. R-squared:    ,   0.865 
Method:          ,Least Squares   ,  F-statistic:       ,   1682. 
Date:            ,Mon, 20 May 2019,  Prob (F-statistic):,  0.00   
Time:            ,20:47:55        ,  Log-Likelihood:    , -9012.6 
No. Observations:, 21596          ,  AIC:               ,1.819e+04
Df Residuals:    , 21513          ,  BIC:               ,1.885e+04
Df Model:        ,    82          ,                     ,         
Covariance Type: ,nonrobust       ,                     ,         
                   ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
bedroom_(4, 5]     ,   -0.0422,    0.010,   -4.104, 0.000,   -0.062,   -0.022
bedroom_(1, 2]     ,    0.0265,    0.009,    3.010, 0.003,    0.009,    0.044
year_(1975, 1990]  ,   -0.0339,    0.008,   -4.317, 0.000,   -0.049,   -0.018
year_(1950, 1975]  ,   -0.0307,    0.008,   -3.949, 0.000,   -0.046,   -0.015
bedroom_(5, 6]     ,   -0.0613,    0.023,   -2.655, 0.008,   -0.107,   -0.016
Omnibus:      ,1247.393,  Durbin-Watson:     ,   2.000
Prob(Omnibus):, 0.000  ,  Jarque-Bera (JB):  ,5253.268
Skew:         , 0.079  ,  Prob(JB):          ,    0.00
Kurtosis:     , 5.411  ,  Cond. No.          ,3.84e+15

Warnings:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 5.64e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
